name,generic_name,category,common_doses,form
Metformin,Metformin,Antidiabetic,"250mg,500mg,850mg,1000mg",Tablet
Lisinopril,Lisinopril,ACE Inhibitor,"2.5mg,5mg,10mg,20mg,40mg",Tablet
Atorvastatin,Atorvastatin,Statin,"10mg,20mg,40mg,80mg",Tablet
Amlodipine,Amlodipine,Calcium Channel Blocker,"2.5mg,5mg,10mg",Tablet
Omeprazole,Omeprazole,Proton Pump Inhibitor,"10mg,20mg,40mg",Capsule
Losartan,Losartan,ARB,"25mg,50mg,100mg",Tablet
Metoprolol,Metoprolol,Beta Blocker,"25mg,50mg,100mg,200mg",Tablet
Levothyroxine,Levothyroxine,Thyroid Hormone,"25mcg,50mcg,75mcg,100mcg,125mcg,150mcg",Tablet
Simvastatin,Simvastatin,Statin,"10mg,20mg,40mg,80mg",Tablet
Hydrochlorothiazide,Hydrochlorothiazide,Diuretic,"12.5mg,25mg,50mg",Tablet
Gabapentin,Gabapentin,Anticonvulsant,"100mg,300mg,400mg,600mg,800mg",Capsule
Amoxicillin,Amoxicillin,Antibiotic,"250mg,500mg,875mg",Capsule
Sertraline,Sertraline,SSRI Antidepressant,"25mg,50mg,100mg",Tablet
Furosemide,Furosemide,Loop Diuretic,"20mg,40mg,80mg",Tablet
Pantoprazole,Pantoprazole,Proton Pump Inhibitor,"20mg,40mg",Tablet
Prednisone,Prednisone,Corticosteroid,"1mg,2.5mg,5mg,10mg,20mg,50mg",Tablet
Albuterol,Albuterol,Bronchodilator,"90mcg/actuation,2mg,4mg",Inhaler
Montelukast,Montelukast,Leukotriene Inhibitor,"4mg,5mg,10mg",Tablet
Escitalopram,Escitalopram,SSRI Antidepressant,"5mg,10mg,20mg",Tablet
Rosuvastatin,Rosuvastatin,Statin,"5mg,10mg,20mg,40mg",Tablet
Tramadol,Tramadol,Opioid Analgesic,"50mg,100mg",Tablet
Clopidogrel,Clopidogrel,Antiplatelet,"75mg",Tablet
Duloxetine,Duloxetine,SNRI Antidepressant,"20mg,30mg,60mg",Capsule
Tamsulosin,Tamsulosin,Alpha Blocker,"0.4mg",Capsule
Pravastatin,Pravastatin,Statin,"10mg,20mg,40mg,80mg",Tablet
Carvedilol,Carvedilol,Beta Blocker,"3.125mg,6.25mg,12.5mg,25mg",Tablet
Meloxicam,Meloxicam,NSAID,"7.5mg,15mg",Tablet
Fluticasone,Fluticasone,Corticosteroid (Inhaled),"44mcg,110mcg,220mcg,250mcg",Inhaler
Warfarin,Warfarin,Anticoagulant,"1mg,2mg,2.5mg,3mg,4mg,5mg,6mg,7.5mg,10mg",Tablet
Aspirin,Aspirin,Antiplatelet/Analgesic,"81mg,325mg,500mg",Tablet
Ibuprofen,Ibuprofen,NSAID,"200mg,400mg,600mg,800mg",Tablet
Acetaminophen,Acetaminophen,Analgesic,"325mg,500mg,650mg,1000mg",Tablet
Naproxen,Naproxen,NSAID,"220mg,250mg,375mg,500mg",Tablet
Ciprofloxacin,Ciprofloxacin,Antibiotic,"250mg,500mg,750mg",Tablet
Azithromycin,Azithromycin,Antibiotic,"250mg,500mg",Tablet
Cephalexin,Cephalexin,Antibiotic,"250mg,500mg",Capsule
Doxycycline,Doxycycline,Antibiotic,"50mg,100mg",Capsule
Clindamycin,Clindamycin,Antibiotic,"150mg,300mg",Capsule
Metronidazole,Metronidazole,Antibiotic,"250mg,500mg",Tablet
Sulfamethoxazole-Trimethoprim,Co-trimoxazole,Antibiotic,"400/80mg,800/160mg",Tablet
Fluconazole,Fluconazole,Antifungal,"50mg,100mg,150mg,200mg",Tablet
Insulin Glargine,Insulin Glargine,Insulin (Long-acting),"100 units/mL",Injection
Insulin Lispro,Insulin Lispro,Insulin (Rapid-acting),"100 units/mL",Injection
Insulin Aspart,Insulin Aspart,Insulin (Rapid-acting),"100 units/mL",Injection
Insulin NPH,Insulin NPH,Insulin (Intermediate),"100 units/mL",Injection
Glipizide,Glipizide,Sulfonylurea,"5mg,10mg",Tablet
Glyburide,Glyburide,Sulfonylurea,"1.25mg,2.5mg,5mg",Tablet
Pioglitazone,Pioglitazone,Thiazolidinedione,"15mg,30mg,45mg",Tablet
Sitagliptin,Sitagliptin,DPP-4 Inhibitor,"25mg,50mg,100mg",Tablet
Empagliflozin,Empagliflozin,SGLT2 Inhibitor,"10mg,25mg",Tablet
Dapagliflozin,Dapagliflozin,SGLT2 Inhibitor,"5mg,10mg",Tablet
Canagliflozin,Canagliflozin,SGLT2 Inhibitor,"100mg,300mg",Tablet
Liraglutide,Liraglutide,GLP-1 Agonist,"0.6mg,1.2mg,1.8mg",Injection
Semaglutide,Semaglutide,GLP-1 Agonist,"0.25mg,0.5mg,1mg,2mg",Injection
Tirzepatide,Tirzepatide,GIP/GLP-1 Agonist,"2.5mg,5mg,7.5mg,10mg,12.5mg,15mg",Injection
Valsartan,Valsartan,ARB,"40mg,80mg,160mg,320mg",Tablet
Irbesartan,Irbesartan,ARB,"75mg,150mg,300mg",Tablet
Telmisartan,Telmisartan,ARB,"20mg,40mg,80mg",Tablet
Ramipril,Ramipril,ACE Inhibitor,"1.25mg,2.5mg,5mg,10mg",Capsule
Enalapril,Enalapril,ACE Inhibitor,"2.5mg,5mg,10mg,20mg",Tablet
Benazepril,Benazepril,ACE Inhibitor,"5mg,10mg,20mg,40mg",Tablet
Diltiazem,Diltiazem,Calcium Channel Blocker,"30mg,60mg,90mg,120mg,180mg,240mg",Tablet
Nifedipine,Nifedipine,Calcium Channel Blocker,"10mg,20mg,30mg,60mg,90mg",Tablet
Propranolol,Propranolol,Beta Blocker,"10mg,20mg,40mg,60mg,80mg",Tablet
Atenolol,Atenolol,Beta Blocker,"25mg,50mg,100mg",Tablet
Bisoprolol,Bisoprolol,Beta Blocker,"2.5mg,5mg,10mg",Tablet
Nebivolol,Nebivolol,Beta Blocker,"2.5mg,5mg,10mg,20mg",Tablet
Spironolactone,Spironolactone,Potassium-sparing Diuretic,"25mg,50mg,100mg",Tablet
Chlorthalidone,Chlorthalidone,Thiazide Diuretic,"12.5mg,25mg,50mg",Tablet
Hydralazine,Hydralazine,Vasodilator,"10mg,25mg,50mg,100mg",Tablet
Clonidine,Clonidine,Alpha-2 Agonist,"0.1mg,0.2mg,0.3mg",Tablet
Doxazosin,Doxazosin,Alpha Blocker,"1mg,2mg,4mg,8mg",Tablet
Apixaban,Apixaban,Anticoagulant (DOAC),"2.5mg,5mg",Tablet
Rivaroxaban,Rivaroxaban,Anticoagulant (DOAC),"10mg,15mg,20mg",Tablet
Dabigatran,Dabigatran,Anticoagulant (DOAC),"75mg,110mg,150mg",Capsule
Enoxaparin,Enoxaparin,Anticoagulant (LMWH),"30mg,40mg,60mg,80mg,100mg,120mg",Injection
Heparin,Heparin,Anticoagulant,"Various",Injection
Ticagrelor,Ticagrelor,Antiplatelet,"60mg,90mg",Tablet
Prasugrel,Prasugrel,Antiplatelet,"5mg,10mg",Tablet
